# timestamp x y z qx qy qz qw
1780120725.384594440 3.912107547 -0.410751906 -0.232473716 0.012844569 0.015062745 0.700956305 0.712929442
1780120725.784515142 3.981622094 -0.246856806 -0.242656685 0.005752665 0.021494659 0.630842509 0.775591784
1780120726.384416342 4.084911923 -0.021023257 -0.255940156 -0.000084109 0.018590650 0.560938031 0.827649024
1780120726.784378290 4.182692665 0.062705271 -0.249026146 0.008530460 0.018288327 0.480648240 0.876681264
1780120727.084190607 4.260001167 0.114604370 -0.257376416 0.008643147 0.017981413 0.373570495 0.927387217
1780120727.284179211 4.318315943 0.140313720 -0.269697910 -0.011251312 0.020403558 0.272989559 0.961734789
1780120727.484021425 4.373935446 0.118184612 -0.252383251 -0.010730597 0.021138646 0.175307728 0.984228232
1780120727.683995485 4.428066042 0.097430763 -0.236815318 -0.029443354 0.017077094 0.089732114 0.995384152
1780120728.783859730 4.766732084 0.117520580 -0.282672357 -0.010434495 0.029542813 -0.007441949 0.999481346
1780120729.183884144 4.930135974 0.043118799 -0.271569981 0.026891264 0.006095644 -0.073694089 0.996899636
1780120729.983976364 5.224114836 -0.042416004 -0.279829887 -0.001572151 -0.004284713 -0.143024747 0.989708589
1780120730.984285593 5.643922752 -0.155353083 -0.291701307 -0.001988001 0.005664064 -0.189181765 0.981923737
1780120732.083534002 6.043184793 -0.338451502 -0.285672209 -0.001466363 0.003082472 -0.153806952 0.988095021
1780120732.585065365 6.210121550 -0.340733667 -0.286305373 -0.009417272 0.012021078 -0.062542765 0.997925454
1780120733.283949137 6.415163637 -0.266463687 -0.321498356 -0.002512205 0.010034805 0.041974286 0.999065138
1780120733.583993912 6.486645648 -0.202731762 -0.335142054 0.000254696 0.010667129 0.132619041 0.991109650
1780120733.885003328 6.494557533 -0.112001206 -0.351466680 -0.013406566 0.021122598 0.249439149 0.968067255
1780120734.183916569 6.478562588 -0.060213288 -0.341988095 -0.005978236 0.026766021 0.345054978 0.938181700
1780120734.583866358 6.463142334 -0.088101231 -0.338369585 0.008796456 0.026165163 0.433120439 0.900913254
1780120734.984708071 6.411983280 -0.080990157 -0.360467454 -0.001667804 0.051405931 0.519419829 0.852969923
1780120735.384521723 6.384941745 -0.043539177 -0.348871692 0.000737056 0.035708717 0.595235506 0.802757147
1780120735.684614897 6.341131370 0.000653462 -0.328519311 0.002034597 0.032354802 0.682735542 0.729946030
1780120735.984494448 6.239615488 0.046515634 -0.325033940 0.003109585 0.033115977 0.780617201 0.624123744
1780120736.184390306 6.131584666 0.037214004 -0.336817972 -0.006473280 0.024904147 0.860951894 0.508035153
1780120736.384360075 6.021813132 0.006951640 -0.352401834 -0.008776815 0.025105198 0.920493471 0.389851852
1780120736.684324265 5.916972376 0.019331894 -0.348138508 0.012277557 0.020477514 0.954045699 0.298708448
1780120737.784184217 5.660079253 0.122215881 -0.330970837 0.023875880 0.022072701 0.978569987 0.203331056
1780120737.984106541 5.600269110 0.085174423 -0.332931275 0.009970362 0.010058258 0.993679483 0.111357566
1780120738.283991337 5.538659387 0.042669925 -0.326300223 0.016834288 0.016731274 0.999630093 0.013279619
1780120738.783976078 5.437341016 -0.006338891 -0.311770279 0.026492605 0.015531786 0.995117860 -0.093794187
1780120739.783976555 5.051977991 -0.086842077 -0.305041054 0.022610935 0.008071847 0.998733336 -0.044218949
1780120740.883882761 4.557145798 -0.172791589 -0.290326174 0.011826430 0.000614873 0.998790596 -0.047719009
1780120741.884150743 3.922388145 -0.258769451 -0.262041184 0.005610090 0.004314319 0.999021848 0.043649294
1780120742.384021282 3.661969276 -0.128050828 -0.247620698 0.005458762 0.023506152 0.989354432 0.143511219
1780120742.984953880 3.351140774 0.080918915 -0.247066884 0.005061735 0.012507686 0.970346135 0.241342734
1780120743.584800482 3.097578806 0.273045046 -0.252799032 0.008498893 0.021829742 0.944067438 0.328919296
1780120743.884827614 3.017173279 0.415496049 -0.268043031 -0.000452745 0.017450134 0.899843666 0.435863126
1780120744.184754372 3.029684526 0.563956319 -0.255455686 0.023708664 0.034615984 0.846079030 0.531403715
1780120744.484863281 3.027886004 0.712187727 -0.266860068 0.013974655 0.029050899 0.795396160 0.605231941
1780120745.084660769 2.984448659 1.036821187 -0.271462482 -0.005589601 0.021516753 0.730807842 0.682221140
1780120745.784464598 3.023894940 1.413614292 -0.276076104 -0.003333731 0.019308801 0.645567424 0.763451869
1780120746.184423923 3.154257731 1.581687158 -0.269462896 0.032341256 0.031800938 0.573420817 0.818004468
1780120746.984234333 3.343117155 1.895269350 -0.269691546 0.008727382 0.012534213 0.505115134 0.862916814
1780120747.484157085 3.522449801 2.070832321 -0.279279090 0.009216531 0.023292778 0.401481505 0.915524496
1780120747.984058619 3.747932569 2.138455754 -0.281920500 0.005818921 0.023430145 0.312907956 0.949476582
1780120748.384067535 3.940009676 2.189894780 -0.270866959 0.011033534 0.014838368 0.232278582 0.972473519
1780120748.883914471 4.189715842 2.250736589 -0.294333180 0.009801809 0.015609935 0.107972677 0.993982975
1780120749.283950329 4.414427020 2.202375546 -0.293506495 0.008927037 0.012522122 0.019225629 0.999696894
1780120750.283991575 4.903279820 2.174202213 -0.326840748 0.005935741 0.014557989 -0.002381654 0.999873572
1780120751.284565210 5.383046573 2.068788933 -0.331243465 -0.005004491 0.010510267 -0.069165926 0.997537249
1780120752.384277344 5.869959037 2.064726691 -0.361512499 -0.004733757 0.013253440 -0.062076929 0.997972140
1780120753.082340240 6.151948959 2.099078821 -0.354473971 -0.009087769 0.018775280 0.025303358 0.999462176
1780120754.084044456 6.633340879 2.147294556 -0.391535097 0.001713253 0.023582942 0.095854538 0.995114474
1780120754.383930206 6.707452150 2.217047702 -0.389678901 0.005514803 0.026997238 0.179941524 0.983291302
1780120754.684906483 6.721912222 2.284674257 -0.402147496 0.009120105 0.039544520 0.272159092 0.961396112
1780120754.984897375 6.687357524 2.345362020 -0.423445717 -0.004465707 0.047690039 0.361570833 0.931113447
1780120755.284762383 6.627946729 2.409067197 -0.441109313 -0.027262458 0.047901483 0.459527794 0.886451585
1780120755.584882021 6.537702929 2.467922957 -0.461734876 -0.063904903 0.061759285 0.539876198 0.837039811
1780120755.984741688 6.499119599 2.497106086 -0.446555422 -0.053931507 0.060321055 0.630039828 0.772335794
1780120756.484616518 6.477908213 2.551698763 -0.437569656 -0.028609164 0.069334202 0.715024808 0.695063888
1780120756.984508991 6.435665488 2.720676630 -0.416478166 0.005156320 0.080310956 0.788139921 0.610212281
1780120757.284584761 6.336633939 2.881179950 -0.392774544 -0.008265088 0.017468170 0.843648175 0.536548515
1780120757.684427023 6.186490743 3.113837138 -0.377315716 0.008376313 0.022530374 0.896138986 0.443122035
1780120757.984418154 6.036949610 3.265120973 -0.371711421 0.016074163 0.017376988 0.938209468 0.345257377
1780120758.284302235 5.880158604 3.280857064 -0.376123279 0.016640347 0.025154014 0.969055592 0.244993129
1780120758.484407187 5.784396330 3.239776005 -0.384448177 0.010829000 0.019752610 0.989133191 0.145286261
1780120758.684213161 5.719553968 3.156560382 -0.382777088 0.012754124 0.013946218 0.998459929 0.052159415
1780120758.984099150 5.622266148 3.024831069 -0.370905482 0.019316268 0.006574797 0.998888016 -0.042501597
1780120759.484232426 5.465971842 2.921764340 -0.354687856 0.026022945 -0.007524027 0.989940591 -0.138866201
1780120760.583862066 5.073736806 2.701539193 -0.343163011 0.019706321 0.016648288 0.982679939 -0.183506492
1780120761.583954573 4.712116702 2.523125873 -0.317659090 0.025453851 0.007820665 0.981290910 -0.190680595
1780120762.583995104 4.393243217 2.401825906 -0.303325862 0.022968285 0.012760262 0.986890156 -0.159240238
1780120763.484388828 4.031789951 2.310620396 -0.287114550 0.016019650 0.006317433 0.997576880 -0.067407934
1780120764.584347963 3.499875710 2.215173353 -0.259960199 0.016854985 0.013937945 0.997763728 -0.063160009
1780120765.684186935 2.943818053 2.089971032 -0.234531199 0.010645411 0.009366188 0.997968645 -0.062109037
1780120766.783893108 2.357480869 1.928774727 -0.190862752 0.019228670 0.000630636 0.997636272 -0.065967644
1780120767.383902788 2.028810656 1.901889813 -0.187109778 0.026004488 0.017229801 0.998793003 0.037939914
1780120767.784750223 1.824348396 1.957765369 -0.183206559 0.019481956 0.010878771 0.990675479 0.134403127
1780120768.184718847 1.648495336 2.090268225 -0.165766308 0.016915776 0.019845923 0.970614800 0.239221458
1780120768.684742928 1.460607330 2.286750767 -0.172417739 0.013870399 0.024451658 0.930913853 0.364155360
1780120768.984700680 1.385219474 2.445716683 -0.184310491 -0.002241944 0.035082740 0.894313459 0.446057857
1780120769.484505415 1.273261965 2.687800325 -0.175618145 0.008497803 0.028739347 0.847944303 0.529237468
1780120769.984452724 1.233849599 2.904854689 -0.161939353 0.022532485 0.028408790 0.780440484 0.624177762
1780120770.384373665 1.261462592 3.090600228 -0.165314326 0.019088636 0.027315172 0.716331177 0.696964239
1780120771.084236622 1.322994840 3.400332918 -0.180509497 0.005229212 0.034956071 0.650166372 0.758969312
1780120771.684228897 1.421850102 3.701832661 -0.185507774 -0.001734142 0.027100906 0.578289776 0.815379340
1780120772.384183884 1.599433531 4.048526722 -0.193755717 0.004278522 0.028497638 0.502524405 0.864082636
1780120773.083262444 1.828926952 4.373189551 -0.215353316 0.000380006 0.030983967 0.411825505 0.910735748
1780120773.383930683 1.980699215 4.451660038 -0.217474155 0.015280287 0.026854221 0.317631984 0.947710550
1780120773.784061432 2.180311071 4.542720841 -0.218183130 0.010962472 0.021805193 0.214391330 0.976442889
1780120774.184089422 2.370448211 4.609791696 -0.225006439 0.003102974 0.022832436 0.117473057 0.992808709
1780120774.984019041 2.773517382 4.647844524 -0.257288245 -0.014894347 0.021218044 0.008077374 0.999631287
1780120776.084030390 3.361956637 4.570820781 -0.278099742 -0.001619209 0.020614012 -0.041175296 0.998937954
1780120777.184010029 3.821431482 4.617769744 -0.298473893 -0.006932883 0.017701472 -0.033889383 0.999244766
